text-lg,col2,py-3,ml-auto href
Obsidian42 - Strange New Worlds,26391,Revealing networked thought and the strange new worlds created by your vault.,https://github.com/TfTHacker/obsidian42-strange-new-worlds
Ava,26324,Quickly format your notes with ChatGPT.,https://github.com/louis030195/obsidian-ava
Relative Line Numbers,26139,Enables relative line numbers in editor mode.,https://github.com/nadavspi/obsidian-relative-line-numbers
Weread Plugin,26019,Sync Tencent Weread highlights and annotations.,https://github.com/zhaohongxuan/obsidian-weread-plugin
Mermaid Tools,25892,Improved Mermaid.js experience for Obsidian: visual toolbar with common elements & more.,https://github.com/dartungar/obsidian-mermaid
Copilot,25721,A ChatGPT Copilot in Obsidian.,https://github.com/logancyang/obsidian-copilot
Icon Shortcodes,25641,Insert emoji and custom icons with shortcodes.,https://github.com/aidenlx/obsidian-icon-shortcodes
Novel Word Count,25455,Displays a word count page count creation date or other statistic for each file folder and vault in the File Explorer pane.,https://github.com/isaaclyman/novel-word-count-obsidian
Word Splitting for Simplified Chinese in Edit Mode and Vim Mode,25411,A patch for Obsidian's built-in CodeMirror Editor to support Simplified Chinese word splitting.,https://github.com/aidenlx/cm-chs-patch
Fullscreen Focus Mode,24621,Adds a command to view a single document leaf in a fullscreen focus mode.,https://github.com/Razumihin/obsidian-fullscreen-plugin
Shell commands,24569,Define system commands that you want to execute via command palette hotkeys URI links or automated events. E.g. open external applications or perform automated file modifications.,https://github.com/Taitava/obsidian-shellcommands
Obsidian Columns,24554,Create columns in Obsidian Markdown.,https://github.com/tnichols217/obsidian-columns
Status Bar Pomodoro Timer,23710,Adds a pomodoro timer to your status bar.,https://github.com/kzhovn/statusbar-pomo-obsidian
Sort & Permute lines,23615,Sort and Permute lines in whole file or selection.,https://github.com/Vinzent03/obsidian-sort-and-permute-lines
Code Block Enhancer,22992,Enhance Obsidian Markdown code blockprovides copy buttonlinenumberlanguage name tip and so on.,https://github.com/nyable/obsidian-code-block-enhancer
Folder Note Core,22988,Provide core features and API for folder notes,https://github.com/aidenlx/folder-note-core
Map of Content,22611,Automatically generate a Map of Content for your vault.,https://github.com/Robin-Haupt-1/Obsidian-Map-of-Content
Local images,21856,Local Images plugin finds all links to external images in your notes then downloads and saves images locally and finally adjusts the image links in your notes to point to the saved image files.,https://github.com/aleksey-rezvov/obsidian-local-images
Vault Statistics,21833,Status bar item with vault statistics such as number of notes files attachments and links.,https://github.com/bkyle/obsidian-vault-statistics-plugin
Number Headings,21747,Automatically number or re-number headings in an Obsidian document.,https://github.com/onlyafly/number-headings-obsidian
ChatGPT MD,21585,A (nearly) seamless integration of ChatGPT into Obsidian.,https://github.com/bramses/chatgpt-md
Paste image rename,21548,Rename image after pasting support name pattern and auto renaming.,https://github.com/reorx/obsidian-paste-image-rename
Autocomplete,21303,Provides a text autocomplete feature to enhance typing speed.,https://github.com/Yeboster/autocomplete-obsidian
Vantage - Advanced search builder,20711,Build advanced search queries in Obsidian.,https://github.com/ryanjamurphy/vantage-obsidian
Code Editor Shortcuts,20706,Add keyboard shortcuts (hotkeys) commonly found in code editors such as Visual Studio Code (VS Code) or Sublime Text.,https://github.com/timhor/obsidian-editor-shortcuts
Text expand,20565,Search and paste/transclude links to found files.,https://github.com/mrjackphil/obsidian-text-expand
Smart Random Note,20521,Open random notes with greater control.,https://github.com/erichalldev/obsidian-smart-random-note
Big Calendar,20337,A big calendar for Obsidian. All events from your daily notes OR tasks used TASKS/DATAVIEW/KANBAN format.,https://github.com/Quorafind/Obsidian-Big-Calendar
Jupyter,20307,Run Python code in Obsidian using Jupyter.,https://github.com/tillahoffmann/obsidian-jupyter
Waypoint,20085,Easily generate dynamic MOCs in your folder notes. Enables folders to show up in the graph view and removes the need for messy tags!,https://github.com/IdreesInc/Waypoint
Omnivore,20012,Omnivore plugin for Obsidian.,https://github.com/omnivore-app/obsidian-omnivore
Show Current File Path,19863,Show the full path of the currently open file in the status bar.,https://github.com/ravimashru/obsidian-show-file-path
Text Snippets,19694,Snippets for faster typing. Allows you to replace text templates create your own and expand text shortcuts.,https://github.com/ArianaKhit/text-snippets-obsidian
Timeline,19424,Build great timelines,https://github.com/George-debug/obsidian-timeline
Auto Note Mover,19200,Auto Note Mover will automatically move the active notes to their respective folders according to the rules.,https://github.com/farux/obsidian-auto-note-mover
List Callouts,19135,Create simple callouts in lists.,https://github.com/mgmeyers/obsidian-list-callouts
Gallery,18929,Interactive card-like gallery display of images.,https://github.com/Darakah/obsidian-gallery
Mindmap Nextgen,18762,Preview notes as Markmap mind maps.,https://github.com/verocloud/obsidian-mindmap-nextgen
Search on Internet,18712,Add context menu items to search the internet based on the title of your note.,https://github.com/HEmile/obsidian-search-on-internet
GPT Notes,18617,Generate notes on any subject using OpenAI's GPT-3.5 and GPT-4 language models.,https://github.com/micahke/obsidian-gpt3-notes
PodNotes,18403,Write notes on podcasts with ease.,https://github.com/chhoumann/PodNotes
RSS Reader,18196,Read articles from RSS feeds and incorporate them into your notes.,https://github.com/joethei/obsidian-rss
Workbench,17891,Keep a workbench of knowledge materials.,https://github.com/ryanjamurphy/workbench-obsidian
Extended MathJax,17497,Enables additional MathJax packages and adds a global preamble for MathJax.,https://github.com/wei2912/obsidian-latex
Surfing,17496,Surf the Net in Obsidian like a web browser.,https://github.com/PKM-er/Obsidian-Surfing
Custom File Explorer sorting,17426,Allows for manual and automatic config-driven reordering and sorting of files and folders in File Explorer.,https://github.com/SebastianMC/obsidian-custom-sort
Link Favicons,17269,See the favicon for a linked website.,https://github.com/joethei/obsidian-link-favicon
Imgur Plugin,17119,Uploads images from your clipboard to imgur.com and embeds uploaded image to your note.,https://github.com/gavvvr/obsidian-imgur-plugin
Better footnote,17085,Footnote popover for Obsidian.,https://github.com/aidenlx/better-fn
Force note view mode,17020,Force the view mode for a note by using frontmatter: YAML block with 'obsidian_ui_mode' as key.,https://github.com/bwydoogh/obsidian-force-view-mode-of-note
File Color,16945,Set colors on folders and files in the file tree.,https://github.com/ecustic/obsidian-file-color
Underline,16743,Add underline with shortcut.,https://github.com/Benature/obsidian-underline
Fleeting Notes Sync,16735,Sync Fleeting Notes with Obsidian.,https://github.com/fleetingnotes/fleeting-notes-obsidian
Better CodeBlock,16706,Add title line numbers and collapse button to code blocks in reading view.,https://github.com/stargrey/obsidian-better-codeblock
Digital Garden,16183,Publish your notes to a digital garden for others to enjoy.,https://github.com/oleeskild/obsidian-digital-garden
Table Generator,15975,Generate Markdown tables quickly like Typora.,https://github.com/Quorafind/Obsidian-Table-Generator
Extract url content,15915,Extract URL converting content into Markdown.,https://github.com/trashhalo/obsidian-extract-url
Smarter Markdown Hotkeys,15691,Hotkeys that select words and lines in a smart way before applying markup. Multiple cursors are supported as well.,https://github.com/chrisgrieser/obsidian-smarter-md-hotkeys
Hotkeys for templates,15374,Add commands to insert specific templates with a hotkey.,https://github.com/Vinzent03/obsidian-hotkeys-for-templates
Copy as HTML,15363,Converts the selected Markdown to HTML and copies it to the clipboard.,https://github.com/jenningsb2/copy-as-html
Toggl Track,15346,Add integration with the Toggl Track API to manage your timers inside Obsidian.,https://github.com/mcndt/obsidian-toggl-integration
Customizable Menu,15224,Add any command to Obsidian's right-click menu.,https://github.com/kzhovn/obsidian-customizable-menu
Latex Environments,14980,Quickly insert and change LaTeX environments within math environments.,https://github.com/raineszm/obsidian-latex-environments
RTL Support,14812,Right to Left (RTL) text direction support for languages like Arabic Hebrew and Farsi.,https://github.com/esm7/obsidian-rtl
Canvas Mindmap,14743,Make your canvas work like a mindmap.,https://github.com/Quorafind/Obsidian-Canvas-MindMap
Core Search Assistant,14586,Enhance built-in search: keyboard interface card preview bigger preview,https://github.com/qawatake/obsidian-core-search-assistant-plugin
MySnippets,14541,Adds a status bar menu allowing the user to quickly toggle their snippets on and off.,https://github.com/chetachiezikeuzor/MySnippets-Plugin
Rich Links,14500,Rich Links plugin that allows you to convert URLs in your notes to rich link previews.,https://github.com/dhamaniasad/obsidian-rich-links
Better Command Palette,14364,A command palette that does all of the things you want it to do.,https://github.com/AlexBieg/obsidian-better-command-palette
Front Matter Title,14362,Lets you define a title in frontmatter to be displayed as the filename.,https://github.com/snezhig/obsidian-front-matter-title
Copy Image and URL context menu,14346,Copy Image Copy URL and Open PDF externally context menu in reading view.,https://github.com/NomarCub/obsidian-copy-url-in-preview
JSON/CSV Importer,14336,Import a JSON file containing an array of data creating notes from a Handlebars template file.,https://github.com/farling42/obsidian-import-json
Jump to link,14200,Quickly navigate between links or jump to any word on the page using hotkeys.,https://github.com/mrjackphil/obsidian-jump-to-link
